Date,Price
24 March 2024,"67,211.90"
23 March 2024,"64,037.80"
22 March 2024,"63,785.50"
21 March 2024,"65,503.80"
20 March 2024,"67,854.00"
19 March 2024,"62,050.00"
18 March 2024,"67,594.10"
17 March 2024,"68,391.20"
16 March 2024,"65,314.20"
15 March 2024,"69,463.70"
14 March 2024,"71,387.50"
13 March 2024,"73,066.30"
12 March 2024,"71,470.20"
11 March 2024,"72,099.10"
10 March 2024,"68,964.80"
09 March 2024,"68,366.50"
08 March 2024,"68,172.00"
07 March 2024,"66,855.30"
06 March 2024,"66,080.40"
05 March 2024,"63,792.60"
04 March 2024,"68,270.10"
03 March 2024,"63,135.80"
02 March 2024,"61,994.50"
01 March 2024,"62,397.70"
29 February 2024,"61,169.30"
28 February 2024,"62,467.60"
27 February 2024,"57,056.20"
26 February 2024,"54,495.10"
25 February 2024,"51,722.70"
24 February 2024,"51,571.60"
23 February 2024,"50,740.50"
22 February 2024,"51,320.40"
21 February 2024,"51,858.20"
20 February 2024,"52,263.50"
19 February 2024,"51,783.60"
18 February 2024,"52,117.50"
17 February 2024,"51,646.00"
16 February 2024,"52,134.20"
15 February 2024,"51,901.30"
14 February 2024,"51,782.40"
13 February 2024,"49,716.00"
12 February 2024,"49,941.30"
11 February 2024,"48,277.30"
10 February 2024,"47,758.20"
09 February 2024,"47,127.50"
08 February 2024,"45,293.30"
07 February 2024,"44,339.80"
06 February 2024,"43,087.70"
05 February 2024,"42,697.20"
04 February 2024,"42,581.40"
03 February 2024,"43,005.70"
02 February 2024,"43,194.70"
01 February 2024,"43,081.40"
31 January 2024,"42,580.50"
30 January 2024,"42,946.20"
29 January 2024,"43,299.80"
28 January 2024,"42,030.70"
27 January 2024,"42,120.90"
26 January 2024,"41,811.30"
25 January 2024,"39,935.70"
24 January 2024,"40,086.00"
23 January 2024,"39,888.80"
22 January 2024,"39,556.40"
21 January 2024,"41,583.20"
20 January 2024,"41,695.40"
19 January 2024,"41,648.00"
18 January 2024,"41,292.70"
17 January 2024,"42,768.70"
16 January 2024,"43,145.50"
15 January 2024,"42,510.70"
14 January 2024,"41,746.10"
13 January 2024,"42,851.30"
12 January 2024,"42,835.90"
11 January 2024,"46,348.20"
10 January 2024,"46,629.30"
09 January 2024,"46,129.00"
08 January 2024,"46,962.20"
07 January 2024,"43,927.30"
06 January 2024,"43,967.90"
05 January 2024,"44,156.90"
04 January 2024,"44,157.00"
03 January 2024,"42,836.10"
02 January 2024,"44,943.70"
01 January 2024,"44,183.40"
31 December 2023,"42,272.50"
30 December 2023,"42,136.70"
29 December 2023,"42,072.40"
28 December 2023,"42,581.10"
27 December 2023,"43,446.50"
26 December 2023,"42,513.30"
25 December 2023,"43,578.50"
24 December 2023,"42,981.50"
23 December 2023,"43,710.40"
22 December 2023,"43,968.90"
21 December 2023,"43,865.90"
20 December 2023,"43,662.80"
19 December 2023,"42,259.30"
18 December 2023,"42,659.70"
17 December 2023,"41,368.70"
16 December 2023,"42,271.70"
15 December 2023,"41,929.00"
14 December 2023,"43,025.90"
13 December 2023,"42,884.50"
12 December 2023,"41,487.00"
11 December 2023,"41,256.10"
10 December 2023,"43,791.00"
