Date,Price
30-Dec-16,959
29-Dec-16,971.1
28-Dec-16,972.2
27-Dec-16,925.8
26-Dec-16,898.4
25-Dec-16,891.1
24-Dec-16,891.1
23-Dec-16,917.2
22-Dec-16,860.2
21-Dec-16,829.2
20-Dec-16,799.1
19-Dec-16,789.8
18-Dec-16,789
17-Dec-16,787.2
16-Dec-16,782
15-Dec-16,775.2
14-Dec-16,776.5
13-Dec-16,778.7
12-Dec-16,778.5
11-Dec-16,767.9
10-Dec-16,774
09-Dec-16,770.5
08-Dec-16,768.5
07-Dec-16,765.6
06-Dec-16,758.2
05-Dec-16,754.3
04-Dec-16,766.4
03-Dec-16,764.2
02-Dec-16,770.9
01-Dec-16,752.6
30-Nov-16,742.5
29-Nov-16,732.6
28-Nov-16,733.3
27-Nov-16,729.4
26-Nov-16,734.1
25-Nov-16,740.4
24-Nov-16,735.3
23-Nov-16,741.1
22-Nov-16,749.3
21-Nov-16,736.2
20-Nov-16,728.5
19-Nov-16,747.9
18-Nov-16,747
17-Nov-16,737.5
16-Nov-16,740.3
15-Nov-16,711.1
14-Nov-16,704.6
13-Nov-16,702
12-Nov-16,704.3
11-Nov-16,715
10-Nov-16,714.6
09-Nov-16,721.4
08-Nov-16,710.9
07-Nov-16,705.4
06-Nov-16,709.9
05-Nov-16,702.1
04-Nov-16,702.1
03-Nov-16,684.9
02-Nov-16,733.5
01-Nov-16,726.8
